post/multi/gather/check_malware                                                                     normal     No     Multi Gather Malware Verifier
post/multi/gather/maven_creds                                                                       normal     No     Multi Gather Maven Credentials Collection
post/multi/gather/thunderbird_creds                                                                 normal     No     Multi Gather Mozilla Thunderbird Signon Credential Collection
post/multi/gather/ssh_creds                                                                         normal     No     Multi Gather OpenSSH PKI Credentials Collection
post/multi/gather/pidgin_cred                                                                       normal     No     Multi Gather Pidgin Instant Messenger Credential Collection
post/multi/gather/ping_sweep                                                                        normal     No     Multi Gather Ping Sweep
post/multi/gather/resolve_hosts                                                                     normal     No     Multi Gather Resolve Hosts
post/multi/gather/rubygems_api_key                                                                  normal     No     Multi Gather RubyGems API Key
post/multi/gather/run_console_rc_file                                                               normal     No     Multi Gather Run Console Resource File
post/multi/gather/multi_command                                                                     normal     No     Multi Gather Run Shell Command Resource File
post/multi/gather/skype_enum                                                                        normal     No     Multi Gather Skype User Data Enumeration
post/multi/gather/ubiquiti_unifi_backup                                                             normal     No     Multi Gather Ubiquiti UniFi Controller Backup
post/multi/gather/find_vmx                                                                          normal     No     Multi Gather VMWare VM Identification
post/multi/gather/enum_vbox                                                                         normal     No     Multi Gather VirtualBox VM Enumeration
post/multi/gather/pgpass_creds                                                                      normal     No     Multi Gather pgpass Credentials
post/multi/general/close                                                                            normal     No     Multi Generic Operating System Session Close
post/multi/general/execute                                                                          normal     No     Multi Generic Operating System Session Command Execution
post/multi/manage/dbvis_add_db_admin                                                                normal     No     Multi Manage DbVisualizer Add Db Admin
post/multi/manage/dbvis_query                                                                       normal     No     Multi Manage DbVisualizer Query
post/multi/manage/zip                                                                               normal     No     Multi Manage File Compressor
post/multi/manage/autoroute                                                                         normal     No     Multi Manage Network Route via Meterpreter Session
post/multi/manage/multi_post                                                                        normal     No     Multi Manage Post Module Macro Execution
post/multi/manage/record_mic                                                                        normal     No     Multi Manage Record Microphone
post/multi/manage/set_wallpaper                                                                     normal     No     Multi Manage Set Wallpaper
post/multi/manage/system_session                                                                    normal     No     Multi Manage System Remote TCP Shell Session
post/multi/manage/play_youtube                                                                      normal     No     Multi Manage YouTube Broadcast
post/multi/manage/screenshare                                                                       normal     No     Multi Manage the screen of the target meterpreter session
post/multi/manage/screensaver                                                                       normal     No     Multi Manage the screensaver of the target computer
post/multi/recon/local_exploit_suggester                                                            normal     No     Multi Recon Local Exploit Suggester
post/multi/gather/enum_software_versions                                                            normal     No     Multiplatform Installed Software Version Enumerator
post/multi/gather/wlan_geolocate                                                                    normal     No     Multiplatform WLAN Enumeration and Geolocation
post/multi/manage/sudo                                                                              normal     No     Multiple Linux / Unix Post Sudo Upgrade Shell
auxiliary/admin/http/mutiny_frontend_read_delete                                   2013-05-15       normal     No     Mutiny 5 Arbitrary File Read and Delete
exploit/linux/http/mutiny_frontend_upload                                          2013-05-15       excellent  Yes    Mutiny 5 Arbitrary File Upload
auxiliary/scanner/mysql/mysql_authbypass_hashdump                                  2012-06-09       normal     No     MySQL Authentication Bypass Password Dump
exploit/multi/http/nas4free_php_exec                                               2013-10-30       great      No     NAS4Free Arbitrary Remote Code Execution
auxiliary/scanner/http/novell_file_reporter_fsfui_fileaccess                       2012-11-16       normal     No     NFR Agent FSFUI Record Arbitrary Remote File Access
exploit/windows/novell/file_reporter_fsfui_upload                                  2012-11-16       great      No     NFR Agent FSFUI Record File Upload RCE
