payload/linux/x86/shell_bind_tcp                                                            normal     No     Linux Command Shell, Bind TCP Inline
payload/linux/x86/shell_bind_ipv6_tcp                                                       normal     No     Linux Command Shell, Bind TCP Inline (IPv6)
payload/linux/x64/shell_bind_tcp_random_port                                                normal     No     Linux Command Shell, Bind TCP Random Port Inline
payload/linux/x86/shell_bind_tcp_random_port                                                normal     No     Linux Command Shell, Bind TCP Random Port Inline
payload/linux/x64/shell/bind_tcp                                                            normal     No     Linux Command Shell, Bind TCP Stager
payload/linux/x86/shell/bind_nonx_tcp                                                       normal     No     Linux Command Shell, Bind TCP Stager
payload/linux/x86/shell/bind_tcp                                                            normal     No     Linux Command Shell, Bind TCP Stager (Linux x86)
payload/linux/x86/shell/bind_tcp_uuid                                                       normal     No     Linux Command Shell, Bind TCP Stager with UUID Support (Linux x86)
payload/linux/ppc/shell_find_port                                                           normal     No     Linux Command Shell, Find Port Inline
payload/linux/ppc64/shell_find_port                                                         normal     No     Linux Command Shell, Find Port Inline
payload/linux/x64/shell_find_port                                                           normal     No     Linux Command Shell, Find Port Inline
payload/linux/x86/shell_find_port                                                           normal     No     Linux Command Shell, Find Port Inline
payload/linux/x86/shell_find_tag                                                            normal     No     Linux Command Shell, Find Tag Inline
payload/linux/x86/shell/find_tag                                                            normal     No     Linux Command Shell, Find Tag Stager
payload/linux/aarch64/shell_reverse_tcp                                                     normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/armle/shell_bind_tcp                                                          normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/armle/shell_reverse_tcp                                                       normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/mipsbe/shell_reverse_tcp                                                      normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/mipsle/shell_reverse_tcp                                                      normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/ppc/shell_reverse_tcp                                                         normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/ppc64/shell_reverse_tcp                                                       normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/x64/shell_reverse_tcp                                                         normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/x86/shell_reverse_tcp                                                         normal     No     Linux Command Shell, Reverse TCP Inline
payload/linux/x86/shell_reverse_tcp_ipv6                                                    normal     No     Linux Command Shell, Reverse TCP Inline (IPv6)
payload/linux/mipsbe/shell/reverse_tcp                                                      normal     No     Linux Command Shell, Reverse TCP Stager
payload/linux/mipsle/shell/reverse_tcp                                                      normal     No     Linux Command Shell, Reverse TCP Stager
payload/linux/x64/shell/reverse_tcp                                                         normal     No     Linux Command Shell, Reverse TCP Stager
payload/linux/x86/shell/reverse_nonx_tcp                                                    normal     No     Linux Command Shell, Reverse TCP Stager
payload/linux/x86/shell/reverse_tcp                                                         normal     No     Linux Command Shell, Reverse TCP Stager
payload/linux/x86/shell/reverse_tcp_uuid                                                    normal     No     Linux Command Shell, Reverse TCP Stager
payload/linux/x86/shell/reverse_ipv6_tcp                                                    normal     No     Linux Command Shell, Reverse TCP Stager (IPv6)
payload/linux/armle/exec                                                                    normal     No     Linux Execute Command
payload/linux/mipsbe/exec                                                                   normal     No     Linux Execute Command
payload/linux/mipsle/exec                                                                   normal     No     Linux Execute Command
payload/linux/x64/exec                                                                      normal     No     Linux Execute Command
payload/linux/x86/exec                                                                      normal     No     Linux Execute Command
payload/linux/x86/metsvc_bind_tcp                                                           normal     No     Linux Meterpreter Service, Bind TCP
payload/linux/x86/metsvc_reverse_tcp                                                        normal     No     Linux Meterpreter Service, Reverse TCP Inline
payload/linux/armle/meterpreter/bind_tcp                                                    normal     No     Linux Meterpreter, Bind TCP Stager
payload/linux/aarch64/meterpreter_reverse_http                                              normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/armbe/meterpreter_reverse_http                                                normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/armle/meterpreter_reverse_http                                                normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/mips64/meterpreter_reverse_http                                               normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/mipsbe/meterpreter_reverse_http                                               normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/mipsle/meterpreter_reverse_http                                               normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/ppc/meterpreter_reverse_http                                                  normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/ppc64le/meterpreter_reverse_http                                              normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/ppce500v2/meterpreter_reverse_http                                            normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/x64/meterpreter_reverse_http                                                  normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/x86/meterpreter_reverse_http                                                  normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/zarch/meterpreter_reverse_http                                                normal     No     Linux Meterpreter, Reverse HTTP Inline
payload/linux/aarch64/meterpreter_reverse_https                                             normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/armbe/meterpreter_reverse_https                                               normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/armle/meterpreter_reverse_https                                               normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/mips64/meterpreter_reverse_https                                              normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/mipsbe/meterpreter_reverse_https                                              normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/mipsle/meterpreter_reverse_https                                              normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/ppc/meterpreter_reverse_https                                                 normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/ppc64le/meterpreter_reverse_https                                             normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/ppce500v2/meterpreter_reverse_https                                           normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/x64/meterpreter_reverse_https                                                 normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/x86/meterpreter_reverse_https                                                 normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/zarch/meterpreter_reverse_https                                               normal     No     Linux Meterpreter, Reverse HTTPS Inline
payload/linux/aarch64/meterpreter_reverse_tcp                                               normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/armbe/meterpreter_reverse_tcp                                                 normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/armle/meterpreter_reverse_tcp                                                 normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/mips64/meterpreter_reverse_tcp                                                normal     No     Linux Meterpreter, Reverse TCP Inline
payload/linux/mipsbe/meterpreter_reverse_tcp                                                normal     No     Linux Meterpreter, Reverse TCP Inline
